time,weather,temperature,humidity,windSpeed,weatherCode
2017/3/8,晴朗,13,16,7,13
2017/3/9,晴朗,18,14,5,13
2017/3/10,局部多云,23,12,4,11
2017/3/11,多云,21,33,6,5
2017/3/12,周边零星小雨,14,33,10,3
2017/3/13,局部多云,13,20,7,11
2017/3/14,阴天,17,14,5,18
2017/3/15,多云,18,14,3,5
2017/3/16,多云,18,22,6,5
2017/3/17,局部多云,18,36,8,11
2017/3/18,晴朗,23,30,3,13
2017/3/19,局部多云,21,21,6,11
2017/3/20,多云,18,39,6,5
2017/3/21,晴朗,19,24,5,13
2017/3/22,细雨,17,27,5,16
2017/3/23,多云,16,44,4,5
2017/3/24,零星细雨,15,55,8,21
2017/3/25,局部多云,15,49,6,11
2017/3/26,多云,15,27,8,5
2017/3/27,多云,18,21,5,5
2017/3/28,有时中雨,8,72,7,15
2017/3/29,晴天,16,48,7,12
2017/3/30,周边零星小雨,15,63,4,3
2017/3/31,晴天,14,49,7,12
2017/4/1,晴天,18,31,7,12
2017/4/2,局部多云,22,26,6,11
2017/4/3,晴天,22,40,7,12
2017/4/4,小雨,17,66,6,9
2017/4/5,阴天,17,75,3,18
2017/4/6,晴天,22,50,3,12
2017/4/7,多云,21,56,4,5
2017/4/8,小雨,17,75,7,9
2017/4/9,多云,16,32,8,5
2017/4/10,多云,15,27,4,5
2017/4/11,晴朗,18,37,5,13
2017/4/12,多云,20,38,7,5
2017/4/13,周边雷暴,21,55,9,4
2017/4/14,晴朗,23,52,6,13
2017/4/15,周边雷暴,27,45,6,4
2017/4/16,小雨,20,85,5,9
2017/4/17,多云,24,36,7,5
2017/4/18,晴朗,20,24,7,13
2017/4/19,零星小雨,20,63,6,19
2017/4/20,多云,21,38,4,5
2017/4/21,周边零星小雨,16,49,8,3
2017/4/22,局部多云,21,32,8,11
2017/4/23,晴朗,23,40,7,13
2017/4/24,小阵雨,21,50,7,8
2017/4/25,局部多云,18,42,8,11
2017/4/26,局部多云,20,30,6,11
2017/4/27,晴朗,22,23,7,13
2017/4/28,晴朗,26,23,6,13
2017/4/29,晴朗,29,27,5,13
2017/4/30,多云,29,33,5,5
2017/5/1,周边雷暴,29,40,5,4
2017/5/2,晴朗,28,33,6,13
2017/5/3,小雨,24,48,6,9
2017/5/4,局部多云,23,52,5,11
2017/5/5,晴朗,23,24,9,13
2017/5/6,晴朗,24,26,8,13
2017/5/7,多云,27,33,5,5
2017/5/8,多云,23,51,7,5
2017/5/9,晴朗,25,44,4,13
2017/5/10,周边雷暴,29,38,7,4
2017/5/11,多云,32,32,7,5
2017/5/12,晴朗,27,23,7,13
2017/5/13,晴朗,25,21,7,13
2017/5/14,局部多云,25,31,4,11
2017/5/15,局部多云,25,39,5,11
2017/5/16,晴朗,27,38,7,13
2017/5/17,晴朗,30,40,9,13
2017/5/18,晴朗,32,40,9,13
2017/5/19,周边雷暴,31,42,8,4
2017/5/20,晴朗,32,40,4,13
2017/5/21,晴朗,31,43,4,13
2017/5/22,小阵雨,31,47,7,8
2017/5/23,小雨,22,58,9,9
2017/5/24,晴朗,29,32,5,13
2017/5/25,晴朗,31,31,5,13
2017/5/26,晴朗,33,31,7,13
2017/5/27,晴朗,33,27,8,13
2017/5/28,多云,33,29,8,5
2017/5/29,周边零星小雨,33,30,7,3
2017/5/30,晴朗,32,34,5,13
2017/5/31,晴朗,32,42,8,13
2017/6/1,晴朗,32,41,8,13
2017/6/2,小阵雨,31,41,7,8
2017/6/3,晴天,26,46,6,12
2017/6/4,局部多云,28,39,2,11
2017/6/5,小雨,24,38,4,9
2017/6/6,细雨,18,85,5,16
2017/6/7,晴朗,27,51,5,13
2017/6/8,多云,30,46,7,5
2017/6/9,多云,32,46,7,5
2017/6/10,周边雷暴,31,53,4,4
2017/6/11,晴朗,31,52,4,13
2017/6/12,局部多云,29,48,4,11
2017/6/13,晴朗,28,40,3,13
2017/6/14,晴朗,31,34,3,13
2017/6/15,多云,32,36,5,5
2017/6/16,晴朗,35,36,6,13
2017/6/17,晴朗,33,34,3,13
2017/6/18,多云,33,32,9,5
2017/6/19,晴朗,33,40,6,13
2017/6/20,周边雷暴,32,49,5,4
2017/6/21,局部多云,34,42,5,11
2017/6/22,小阵雨,29,64,6,8
2017/6/23,零星雷雨,27,76,4,22
2017/6/24,周边零星小雨,26,72,6,3
2017/6/25,局部多云,28,59,5,11
2017/6/26,晴朗,30,52,4,13
2017/6/27,晴朗,33,45,3,13
2017/6/28,局部多云,34,43,6,11
2017/6/29,晴朗,37,41,6,13
2017/6/30,局部多云,32,55,6,11
2017/7/1,晴朗,38,41,5,13
2017/7/2,晴朗,39,37,3,13
2017/7/3,晴朗,41,35,3,13
2017/7/4,小阵雨,40,38,4,8
2017/7/5,周边零星小雨,37,47,4,3
2017/7/6,暴阵雨,32,75,5,14
2017/7/7,晴朗,36,57,7,13
2017/7/8,晴朗,37,51,9,13
2017/7/9,局部多云,33,68,9,11
2017/7/10,局部多云,38,45,7,11
2017/7/11,晴朗,39,46,9,13
2017/7/12,晴朗,38,49,10,13
2017/7/13,晴朗,38,48,9,13
2017/7/14,周边雷暴,38,51,8,4
2017/7/15,小阵雨,31,76,4,8
2017/7/16,中到大阵雨,34,70,4,0
2017/7/17,雷阵雨,30,70,4,23
2017/7/18,零星细雨,34,69,7,21
2017/7/19,中到大阵雨,35,67,9,0
2017/7/20,晴朗,38,56,9,13
2017/7/21,中到大阵雨,37,59,6,0
2017/7/22,小阵雨,37,62,5,8
2017/7/23,周边零星小雨,40,52,5,3
2017/7/24,暴阵雨,37,64,7,14
2017/7/25,周边零星小雨,36,57,7,3
2017/7/26,中到大阵雨,36,61,5,0
2017/7/27,周边零星小雨,33,66,6,3
2017/7/28,局部多云,31,64,8,11
2017/7/29,小雨,28,71,5,9
2017/7/30,中到大阵雨,29,81,3,0
2017/7/31,小阵雨,35,64,6,8
2017/8/1,中到大阵雨,35,69,7,0
2017/8/2,中到大阵雨,34,75,6,0
2017/8/3,周边雷暴,37,62,5,4
2017/8/4,晴朗,38,53,5,13
2017/8/5,晴朗,40,48,4,13
2017/8/6,周边雷暴,39,50,6,4
2017/8/7,局部多云,38,42,4,11
2017/8/8,晴朗,38,44,4,13
2017/8/9,零星雷雨,35,53,6,22
2017/8/10,晴朗,40,46,3,13
2017/8/11,晴朗,38,48,6,13
2017/8/12,零星雷雨,36,54,6,22
2017/8/13,局部多云,33,58,7,11
2017/8/14,小阵雨,31,70,9,8
2017/8/15,晴朗,34,60,5,13
2017/8/16,小阵雨,34,58,5,8
2017/8/17,中到大阵雨,35,60,3,0
2017/8/18,小阵雨,35,59,4,8
2017/8/19,中到大阵雨,32,65,6,0
2017/8/20,局部多云,34,60,5,11
2017/8/21,局部多云,37,51,2,11
2017/8/22,周边零星小雨,36,56,6,3
2017/8/23,暴阵雨,35,67,6,14
2017/8/24,晴朗,36,54,6,13
2017/8/25,局部多云,35,37,5,11
2017/8/26,局部多云,32,39,4,11
2017/8/27,局部多云,33,45,6,11
2017/8/28,小阵雨,25,82,8,8
2017/8/29,零星细雨,25,65,4,21
2017/8/30,多云,24,70,6,5
2017/8/31,晴朗,33,53,4,13
2017/9/1,晴朗,30,55,5,13
2017/9/2,周边零星小雨,29,51,4,3
2017/9/3,局部多云,31,46,5,11
2017/9/4,多云,30,58,5,5
2017/9/5,周边零星小雨,29,62,4,3
2017/9/6,局部多云,30,53,5,11
2017/9/7,晴朗,33,55,7,13
2017/9/8,局部多云,33,49,7,11
2017/9/9,局部多云,33,49,5,11
2017/9/10,晴朗,30,51,5,13
2017/9/11,晴朗,33,50,5,13
2017/9/12,晴朗,34,37,3,13
2017/9/13,晴朗,33,37,5,13
2017/9/14,局部多云,32,34,4,11
2017/9/15,局部多云,33,37,2,11
2017/9/16,局部多云,31,50,5,11
2017/9/17,晴朗,32,40,3,13
2017/9/18,晴朗,32,42,7,13
2017/9/19,多云,32,33,5,5
2017/9/20,局部多云,36,25,2,11
2017/9/21,多云,31,47,8,5
2017/9/22,晴朗,33,35,6,13
2017/9/23,晴朗,31,45,7,13
2017/9/24,局部多云,32,48,7,11
2017/9/25,局部多云,30,53,5,11
2017/9/26,多云,27,63,5,5
2017/9/27,多云,27,40,6,5
2017/9/28,晴朗,27,17,6,13
2017/9/29,局部多云,27,52,9,11
2017/9/30,多云,29,49,8,5
2017/10/1,周边零星小雨,28,62,6,3
2017/10/2,局部多云,24,43,9,11
2017/10/3,多云,20,42,6,5
2017/10/4,晴朗,21,38,5,13
2017/10/5,多云,21,47,5,5
2017/10/6,局部多云,26,43,3,11
2017/10/7,多云,25,51,4,5
2017/10/8,周边零星小雨,23,75,3,3
2017/10/9,阴天,22,83,5,18
2017/10/10,中雨,15,83,9,1
2017/10/11,阴天,18,54,6,18
2017/10/12,晴朗,19,45,5,13
2017/10/13,多云,22,48,4,5
2017/10/14,局部多云,23,39,3,11
2017/10/15,多云,22,42,3,5
2017/10/16,局部多云,23,47,6,11
2017/10/17,小阵雨,20,64,5,8
2017/10/18,阴天,20,51,5,18
2017/10/19,多云,21,50,4,5
2017/10/20,晴朗,26,44,4,13
2017/10/21,多云,25,38,3,5
2017/10/22,局部多云,19,50,8,11
2017/10/23,晴朗,18,39,6,13
2017/10/24,晴朗,23,24,3,13
2017/10/25,多云,21,32,4,5
2017/10/26,晴朗,22,39,6,13
2017/10/27,晴朗,26,39,5,13
2017/10/28,晴朗,26,36,7,13
2017/10/29,晴朗,13,18,8,13
2017/10/30,晴朗,17,18,5,13
2017/10/31,多云,18,24,8,5
2017/11/1,阴天,21,48,5,18
2017/11/2,晴朗,23,40,7,13
2017/11/3,晴朗,14,33,8,13
2017/11/4,晴朗,17,26,5,13
2017/11/5,局部多云,17,35,8,11
2017/11/6,局部多云,20,42,7,11
2017/11/7,阴天,24,35,5,18
2017/11/8,局部多云,21,26,5,11
2017/11/9,局部多云,22,34,9,11
2017/11/10,局部多云,14,21,9,11
2017/11/11,多云,14,22,4,5
2017/11/12,局部多云,15,31,7,11
2017/11/13,局部多云,16,28,5,11
2017/11/14,晴朗,14,18,4,13
2017/11/15,局部多云,12,17,6,11
2017/11/16,局部多云,16,51,5,11
2017/11/17,阴天,11,36,10,18
2017/11/18,局部多云,8,15,5,11
2017/11/19,多云,8,11,3,5
2017/11/20,晴朗,14,25,3,13
2017/11/21,局部多云,13,37,8,11
2017/11/22,局部多云,10,21,5,11
2017/11/23,局部多云,9,15,7,11
2017/11/24,局部多云,8,15,5,11
2017/11/25,局部多云,15,24,6,11
2017/11/26,晴朗,8,18,7,13
2017/11/27,多云,13,46,8,5
2017/11/28,局部多云,12,38,8,11
2017/11/29,阴天,7,43,6,18
2017/11/30,局部多云,8,44,5,11
2017/12/1,晴朗,10,30,4,13
2017/12/2,局部多云,11,46,8,11
2017/12/3,阴天,10,54,6,18
2017/12/4,局部多云,5,21,5,11
2017/12/5,晴朗,7,23,6,13
2017/12/6,局部多云,10,28,5,11
2017/12/7,局部多云,7,28,7,11
2017/12/8,局部多云,6,20,6,11
2017/12/9,局部多云,9,24,6,11
2017/12/10,局部多云,8,24,5,11
2017/12/11,局部多云,5,29,7,11
2017/12/12,局部多云,5,24,5,11
2017/12/13,局部多云,6,26,5,11
2017/12/14,中雪,7,59,4,2
2017/12/15,细雨,6,71,4,16
2017/12/16,局部多云,2,22,8,11
2017/12/17,晴朗,5,25,6,13
2017/12/18,局部多云,7,27,3,11
2017/12/19,局部多云,7,24,5,11
2017/12/20,局部多云,9,23,5,11
2017/12/21,晴朗,10,28,8,13
2017/12/22,局部多云,11,38,4,11
2017/12/23,多云,10,38,4,5
2017/12/24,局部多云,7,23,8,11
2017/12/25,局部多云,7,21,6,11
2017/12/26,晴朗,10,33,5,13
2017/12/27,晴朗,10,48,6,13
2017/12/28,局部多云,13,54,2,11
2017/12/29,阴天,11,52,4,18
2017/12/30,周边零星小雨,8,45,5,3
2017/12/31,局部多云,8,14,4,11
2018/1/1,晴朗,13,28,2,13
2018/1/2,多云,7,56,8,5
2018/1/3,多云,3,19,7,5
2018/1/4,阴天,1,24,5,18
2018/1/5,局部多云,4,19,3,11
2018/1/6,多云,4,24,5,5
2018/1/7,中雪,4,66,2,2
2018/1/8,局部多云,2,20,9,11
2018/1/9,局部多云,3,23,8,11
2018/1/10,局部多云,0,20,7,11
2018/1/11,晴朗,-2,13,7,13
2018/1/12,晴朗,2,22,7,13
2018/1/13,局部多云,6,43,8,11
2018/1/14,局部多云,8,46,7,11
2018/1/15,局部多云,9,39,4,11
2018/1/16,局部多云,7,30,5,11
2018/1/17,局部多云,9,59,6,11
2018/1/18,多云,10,40,3,5
2018/1/19,局部多云,10,39,5,11
2018/1/20,多云,12,24,3,5
2018/1/21,多云,8,30,4,5
2018/1/22,局部多云,2,58,8,11
2018/1/23,多云,-3,33,7,5
2018/1/24,局部多云,-2,14,5,11
2018/1/25,多云,-2,28,7,5
2018/1/26,局部多云,-1,30,4,11
2018/1/27,小雪,0,35,2,10
2018/1/28,局部多云,-2,25,7,11
2018/1/29,晴朗,4,22,4,13
2018/1/30,多云,3,34,5,5
2018/1/31,局部多云,7,24,3,11
2018/2/1,局部多云,6,27,6,11
2018/2/2,晴朗,-2,17,9,13
2018/2/3,局部多云,1,14,4,11
2018/2/4,局部多云,4,15,4,11
2018/2/5,局部多云,0,22,7,11
2018/2/6,局部多云,4,20,5,11
2018/2/7,局部多云,1,28,9,11
2018/2/8,局部多云,4,23,7,11
2018/2/9,多云,7,26,7,5
2018/2/10,局部多云,3,13,6,11
2018/2/11,局部多云,0,13,8,11
2018/2/12,晴朗,7,14,7,13
2018/2/13,局部多云,12,29,10,11
2018/2/14,阴天,7,22,10,18
2018/2/15,多云,9,20,5,5
2018/2/16,局部多云,11,38,6,11
2018/2/17,阴天,10,37,6,18
2018/2/18,多云,12,38,3,5
2018/2/19,多云,13,43,5,5
2018/2/20,阴天,6,52,8,18
2018/2/21,局部多云,10,25,5,11
2018/2/22,局部多云,11,20,8,11
2018/2/23,局部多云,20,23,5,11
2018/2/24,大雪,2,47,9,7
2018/2/25,局部多云,11,39,6,11
2018/2/26,局部多云,19,47,8,11
2018/2/27,细雨,15,49,8,16
2018/2/28,多云,15,52,7,5
2018/3/1,局部多云,9,13,7,11
2018/3/2,局部多云,13,44,10,11
2018/3/3,多云,20,59,9,5
2018/3/4,中雨,8,76,12,1
2018/3/5,局部多云,7,39,8,11
2018/3/6,多云,10,35,7,5
2018/3/7,周边零星小雨,11,44,7,3
2018/3/8,多云,7,37,8,5
2018/3/9,局部多云,13,32,9,11
2018/3/10,局部多云,21,47,5,11
2018/3/11,局部多云,20,53,6,11
2018/3/12,晴朗,22,37,10,13
2018/3/13,晴朗,25,39,10,13
2018/3/14,晴朗,26,43,9,13
2018/3/15,阴天,10,52,13,18
2018/3/16,阴天,10,26,8,18
2018/3/17,多云,10,30,4,5
2018/3/18,周边零星小雨,9,74,6,3
2018/3/19,局部多云,12,46,9,11
2018/3/20,阴天,6,38,9,18
2018/3/21,多云,14,26,5,5
2018/3/22,有时中雨,15,42,5,15
2018/3/23,局部多云,23,32,8,11
2018/3/24,局部多云,24,29,5,11
2018/3/25,晴朗,25,33,6,13
2018/3/26,多云,25,36,9,5
2018/3/27,晴朗,28,38,9,13
2018/3/28,局部多云,32,40,7,11
2018/3/29,局部多云,20,33,10,11
2018/3/30,局部多云,26,27,4,11
2018/3/31,局部多云,25,45,7,11
2018/4/1,局部多云,29,34,7,11
2018/4/2,晴朗,31,32,9,13
2018/4/3,多云,15,31,13,5
2018/4/4,多云,13,29,9,5
2018/4/5,零星细雨,14,43,5,21
2018/4/6,多云,11,23,11,5
2018/4/7,局部多云,15,15,8,11
2018/4/8,局部多云,21,21,6,11
2018/4/9,局部多云,26,34,11,11
2018/4/10,多云,28,23,9,5
2018/4/11,多云,26,19,5,5
2018/4/12,多云,25,25,5,5
2018/4/13,小雨,13,58,7,9
2018/4/14,多云,17,35,8,5
2018/4/15,局部多云,21,15,4,11
2018/4/16,局部多云,23,26,8,11
2018/4/17,局部多云,24,34,10,11
2018/4/18,局部多云,28,39,10,11
2018/4/19,局部多云,32,31,9,11
2018/4/20,晴朗,32,29,9,13
2018/4/21,小阵雨,31,42,7,8
2018/4/22,中雨,12,85,10,1
2018/4/23,阴天,20,64,9,18
2018/4/24,局部多云,21,35,8,11
2018/4/25,多云,27,25,3,5
2018/4/26,局部多云,27,48,7,11
2018/4/27,局部多云,28,19,7,11
2018/4/28,局部多云,31,35,9,11
2018/4/29,局部多云,30,40,9,11
2018/4/30,局部多云,33,40,5,11
2018/5/1,小阵雨,25,63,8,8
2018/5/2,局部多云,22,39,7,11
2018/5/3,晴朗,25,23,7,13
2018/5/4,局部多云,29,28,10,11
2018/5/5,中雨,21,67,6,1
2018/5/6,局部多云,26,43,7,11
2018/5/7,局部多云,30,20,5,11
2018/5/8,局部多云,32,26,4,11
2018/5/9,局部多云,32,26,5,11
2018/5/10,多云,27,32,7,5
2018/5/11,多云,29,28,6,5
2018/5/12,小雨,25,69,5,9
2018/5/13,晴朗,35,31,6,13
2018/5/14,多云,35,31,10,5
2018/5/15,周边雷暴,33,52,8,4
2018/5/16,零星雷雨,34,56,7,22
2018/5/17,阴天,27,71,6,18
2018/5/18,局部多云,29,40,8,11
2018/5/19,细雨,30,33,6,16
2018/5/20,有时中雨,27,49,5,15
2018/5/21,局部多云,24,50,4,11
2018/5/22,大雨,23,60,7,6
2018/5/23,晴朗,30,32,10,13
2018/5/24,局部多云,30,38,10,11
2018/5/25,多云,31,58,5,5
2018/5/26,局部多云,33,41,6,11
2018/5/27,多云,35,20,5,5
2018/5/28,局部多云,36,15,8,11
2018/5/29,局部多云,33,20,8,11
2018/5/30,局部多云,34,16,6,11
2018/5/31,局部多云,35,17,6,11
2018/6/1,多云,37,15,5,5
2018/6/2,多云,34,27,6,5
2018/6/3,局部多云,34,31,8,11
2018/6/4,局部多云,38,22,5,11
2018/6/5,晴朗,38,17,9,13
2018/6/6,局部多云,37,27,10,11
2018/6/7,周边零星小雨,35,35,6,3
2018/6/8,局部多云,36,23,6,11
2018/6/9,小阵雨,21,72,6,8
2018/6/10,小阵雨,25,63,7,8
2018/6/11,局部多云,36,32,3,11
2018/6/12,晴朗,41,23,5,13
2018/6/13,周边雷暴,39,29,8,4
2018/6/14,局部多云,32,35,7,11
2018/6/15,局部多云,34,31,6,11
2018/6/16,局部多云,35,36,5,11
2018/6/17,周边零星小雨,34,39,5,3
2018/6/18,局部多云,34,36,5,11
2018/6/19,细雨,34,44,5,16
2018/6/20,局部多云,37,22,4,11
2018/6/21,局部多云,38,24,7,11
2018/6/22,局部多云,36,22,7,11
2018/6/23,局部多云,35,26,8,11
2018/6/24,局部多云,36,30,8,11
2018/6/25,暴阵雨,29,78,7,14
2018/6/26,周边零星小雨,35,59,3,3
2018/6/27,局部多云,39,38,6,11
2018/6/28,周边零星小雨,35,29,8,3
2018/6/29,局部多云,38,26,5,11
2018/6/30,局部多云,38,27,6,11
2018/7/1,局部多云,35,39,7,11
2018/7/2,局部多云,36,36,4,11
2018/7/3,局部多云,37,36,4,11
2018/7/4,周边零星小雨,33,44,5,3
2018/7/5,局部多云,38,39,5,11
2018/7/6,局部多云,37,38,7,11
2018/7/7,局部多云,37,40,4,11
2018/7/8,零星细雨,33,57,5,21
2018/7/9,小阵雨,29,65,6,8
2018/7/10,周边零星小雨,31,63,6,3
2018/7/11,中到大阵雨,36,53,7,0
2018/7/12,局部多云,37,48,6,11
2018/7/13,周边零星小雨,38,44,8,3
2018/7/14,零星雷雨,36,51,7,22
2018/7/15,零星雷雨,37,52,7,22
2018/7/16,局部多云,37,49,9,11
2018/7/17,局部多云,36,52,8,11
2018/7/18,局部多云,37,52,7,11
2018/7/19,局部多云,38,46,7,11
2018/7/20,局部多云,38,49,8,11
2018/7/21,局部多云,39,47,6,11
2018/7/22,局部多云,39,42,6,11
2018/7/23,大雨,32,74,12,6
2018/7/24,中到大阵雨,33,73,8,0
2018/7/25,局部多云,40,45,7,11
2018/7/26,零星雷雨,39,56,6,22
2018/7/27,中到大阵雨,38,50,4,0
2018/7/28,小阵雨,38,48,4,8
2018/7/29,中到大阵雨,36,53,4,0
2018/7/30,中到大阵雨,35,56,4,0
2018/7/31,周边零星小雨,39,45,2,3
2018/8/1,局部多云,38,45,5,11
2018/8/2,局部多云,39,45,3,11
2018/8/3,局部多云,39,44,6,11
2018/8/4,零星雷雨,37,59,7,22
2018/8/5,小阵雨,37,54,5,8
2018/8/6,零星雷雨,37,54,4,22
2018/8/7,周边零星小雨,38,53,6,3
2018/8/8,周边零星小雨,38,53,6,3
2018/8/9,小阵雨,36,56,3,8
2018/8/10,周边零星小雨,38,47,5,3
2018/8/11,局部多云,37,44,4,11
2018/8/12,局部多云,37,44,5,11
2018/8/13,小阵雨,35,58,6,8
2018/8/14,小阵雨,31,77,6,8
2018/8/15,中到大阵雨,33,73,5,0
2018/8/16,局部多云,32,65,8,11
2018/8/17,局部多云,31,69,8,11
2018/8/18,暴阵雨,27,85,8,14
2018/8/19,大雨,27,87,8,6
2018/8/20,细雨,28,79,7,16
2018/8/21,局部多云,32,65,6,11
2018/8/22,中到大阵雨,29,68,7,0
2018/8/23,局部多云,30,57,7,11
2018/8/24,局部多云,31,53,5,11
2018/8/25,局部多云,34,41,4,11
2018/8/26,局部多云,35,49,4,11
2018/8/27,局部多云,32,47,7,11
2018/8/28,周边零星小雨,34,64,4,3
2018/8/29,局部多云,32,60,7,11
2018/8/30,小阵雨,31,62,7,8
2018/8/31,局部多云,29,59,7,11
2018/9/1,局部多云,31,52,6,11
2018/9/2,局部多云,32,53,5,11
2018/9/3,局部多云,33,44,7,11
2018/9/4,局部多云,30,42,6,11
2018/9/5,局部多云,32,44,6,11
2018/9/6,局部多云,31,43,8,11
2018/9/7,局部多云,27,39,6,11
2018/9/8,局部多云,28,41,6,11
2018/9/9,局部多云,28,40,5,11
2018/9/10,局部多云,30,37,3,11
2018/9/11,局部多云,30,43,3,11
2018/9/12,局部多云,32,45,4,11
2018/9/13,小阵雨,30,57,4,8
2018/9/14,小阵雨,32,51,4,8
2018/9/15,小阵雨,28,66,7,8
2018/9/16,有时中雨,26,61,5,15
2018/9/17,零星细雨,27,54,4,21
2018/9/18,零星细雨,25,53,4,21
2018/9/19,中雨,23,90,3,1
2018/9/20,阴天,28,66,5,18
2018/9/21,局部多云,28,39,6,11
2018/9/22,晴朗,27,30,5,13
2018/9/23,局部多云,26,27,5,11
2018/9/24,局部多云,26,35,6,11
2018/9/25,局部多云,25,39,4,11
2018/9/26,零星细雨,25,45,3,21
2018/9/27,局部多云,27,41,4,11
2018/9/28,局部多云,29,41,5,11
2018/9/29,局部多云,30,32,4,11
2018/9/30,局部多云,22,26,8,11
2018/10/1,局部多云,24,35,7,11
2018/10/2,局部多云,26,32,4,11
2018/10/3,局部多云,30,27,2,11
2018/10/4,局部多云,29,25,3,11
2018/10/5,晴朗,29,28,5,13
2018/10/6,局部多云,25,38,7,11
2018/10/7,局部多云,25,37,5,11
2018/10/8,小阵雨,26,42,3,8
2018/10/9,周边零星小雨,18,33,9,3
2018/10/10,局部多云,18,21,4,11
2018/10/11,局部多云,22,23,3,11
2018/10/12,局部多云,22,29,5,11
2018/10/13,局部多云,23,33,6,11
2018/10/14,局部多云,22,39,5,11
2018/10/15,局部多云,24,39,4,11
2018/10/16,小阵雨,19,62,4,8
2018/10/17,局部多云,19,35,7,11
2018/10/18,局部多云,19,26,6,11
2018/10/19,局部多云,20,27,4,11
2018/10/20,阴天,20,33,3,18
2018/10/21,多云,21,47,5,5
2018/10/22,局部多云,24,39,6,11
2018/10/23,局部多云,25,16,3,11
2018/10/24,阴天,25,28,7,18
2018/10/25,零星小雨,20,62,7,19
2018/10/26,晴朗,16,15,9,13
2018/10/27,局部多云,18,18,6,11
2018/10/28,局部多云,21,23,7,11
2018/10/29,局部多云,17,25,5,11
2018/10/30,局部多云,18,23,4,11
2018/10/31,局部多云,20,28,4,11
2018/11/1,晴朗,23,30,3,13
2018/11/2,晴朗,24,32,4,13
2018/11/3,局部多云,21,42,5,11
2018/11/4,多云,21,51,3,5
2018/11/5,零星细雨,13,67,8,21
2018/11/6,细雨,12,43,6,16
2018/11/7,多云,14,42,4,5
2018/11/8,小雨,13,54,4,9
2018/11/9,晴朗,20,43,6,13
2018/11/10,局部多云,18,26,5,11
2018/11/11,多云,15,55,5,5
2018/11/12,晴朗,20,54,2,13
2018/11/13,局部多云,19,47,3,11
2018/11/14,局部多云,18,50,5,11
2018/11/15,小雨,13,75,3,9
2018/11/16,局部多云,10,42,7,11
2018/11/17,局部多云,11,42,5,11
2018/11/18,多云,14,33,5,5
2018/11/19,局部多云,14,37,7,11
2018/11/20,多云,15,44,5,5
2018/11/21,周边零星小雨,12,59,6,3
2018/11/22,晴朗,13,39,5,13
2018/11/23,局部多云,14,40,9,11
2018/11/24,阴天,14,28,3,18
2018/11/25,晴朗,19,38,4,13
2018/11/26,阴天,17,46,7,18
2018/11/27,多云,14,33,7,5
2018/11/28,局部多云,17,56,5,11
2018/11/29,局部多云,13,58,7,11
